date,city,company,desc,price
2021-04-30,SHIMOGA,Vencobb,(Large) Per kg,75.0
2021-04-30,hosadurga,Vencobb,(Large) Per Kg,75.0
2021-05-01,BANGALORE,Vencobb,(Large) Per kg,50.0
2021-05-01,HASSAN,Vencobb,(Large) Per kg,60.0
2021-05-01,MYSORE,Vencobb,(Large) Per kg,60.0
2021-05-01,SHIMOGA,Vencobb,(Large) Per kg,67.0
2021-05-01,hosadurga,Vencobb,(Large) Per Kg,67.0
2021-05-02,BANGALORE,Vencobb,(Large) Per kg,53.0
2021-05-02,HASSAN,Vencobb,(Large) Per kg,63.0
2021-05-02,MYSORE,Vencobb,(Large) Per kg,63.0
2021-05-02,SHIMOGA,Vencobb,(Large) Per kg,70.0
2021-05-02,hosadurga,Vencobb,(Large) Per Kg,70.0
2021-05-03,BANGALORE,Vencobb,(Large) Per kg,43.0
2021-05-03,HASSAN,Vencobb,(Large) Per kg,58.0
2021-05-03,MYSORE,Vencobb,(Large) Per kg,58.0
2021-05-03,SHIMOGA,Vencobb,(Large) Per kg,64.0
2021-05-03,hosadurga,Vencobb,(Large) Per Kg,64.0
2021-05-04,BANGALORE,Vencobb,(Large) Per kg,48.0
2021-05-04,HASSAN,Vencobb,(Large) Per kg,63.0
2021-05-04,MYSORE,Vencobb,(Large) Per kg,63.0
2021-05-04,SHIMOGA,Vencobb,(Large) Per kg,64.0
2021-05-04,hosadurga,Vencobb,(Large) Per Kg,64.0
2021-05-05,BANGALORE,Vencobb,(Large) Per kg,51.0
2021-05-05,HASSAN,Vencobb,(Large) Per kg,63.0
2021-05-05,MYSORE,Vencobb,(Large) Per kg,63.0
2021-05-05,SHIMOGA,Vencobb,(Large) Per kg,64.0
2021-05-05,hosadurga,Vencobb,(Large) Per Kg,64.0
2021-05-06,BANGALORE,Vencobb,(Large) Per kg,56.0
2021-05-06,HASSAN,Vencobb,(Large) Per kg,68.0
2021-05-06,MYSORE,Vencobb,(Large) Per kg,68.0
2021-05-06,SHIMOGA,Vencobb,(Large) Per kg,69.0
2021-05-06,hosadurga,Vencobb,(Large) Per Kg,59.0
2021-05-07,BANGALORE,Vencobb,(Large) Per kg,60.0
2021-05-07,HASSAN,Vencobb,(Large) Per kg,70.0
2021-05-07,MYSORE,Vencobb,(Large) Per kg,70.0
2021-05-07,SHIMOGA,Vencobb,(Large) Per kg,71.0
2021-05-07,hosadurga,Vencobb,(Large) Per Kg,71.0
2021-05-08,BANGALORE,Vencobb,(Large) Per kg,60.0
